"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2354","rejectInvalidMessagePayload()","","Thu Jul 09 23:53:39 UTC 2026","passed","Thu Jul 09 23:53:41 UTC 2026","","frameworks.seleniumjava.tests.api.MessageApiTest","frameworks.seleniumjava.tests.api.MessageApiTest","rejectInvalidMessagePayload"
"","1126","submitFormSuccessfully()","","Thu Jul 09 23:53:34 UTC 2026","passed","Thu Jul 09 23:53:35 UTC 2026","","frameworks.seleniumjava.tests.FormTest","frameworks.seleniumjava.tests.FormTest","submitFormSuccessfully"
"","791","invalidLoginShowsError()","","Thu Jul 09 23:53:35 UTC 2026","passed","Thu Jul 09 23:53:36 UTC 2026","","frameworks.seleniumjava.tests.LoginTest","frameworks.seleniumjava.tests.LoginTest","invalidLoginShowsError"
"","13924","invalidFormShowsValidationError()","","Thu Jul 09 23:53:20 UTC 2026","passed","Thu Jul 09 23:53:34 UTC 2026","","frameworks.seleniumjava.tests.FormTest","frameworks.seleniumjava.tests.FormTest","invalidFormShowsValidationError"
"","75","fetchDemoUserProfile()","","Thu Jul 09 23:53:41 UTC 2026","passed","Thu Jul 09 23:53:41 UTC 2026","","frameworks.seleniumjava.tests.api.UserApiTest","frameworks.seleniumjava.tests.api.UserApiTest","fetchDemoUserProfile"
"","74","submitMessageSuccessfully()","","Thu Jul 09 23:53:41 UTC 2026","passed","Thu Jul 09 23:53:41 UTC 2026","","frameworks.seleniumjava.tests.api.MessageApiTest","frameworks.seleniumjava.tests.api.MessageApiTest","submitMessageSuccessfully"
"","939","navigateBetweenSections()","","Thu Jul 09 23:53:37 UTC 2026","passed","Thu Jul 09 23:53:38 UTC 2026","","frameworks.seleniumjava.tests.NavigationTest","frameworks.seleniumjava.tests.NavigationTest","navigateBetweenSections"
"","817","validLogin()","","Thu Jul 09 23:53:36 UTC 2026","passed","Thu Jul 09 23:53:37 UTC 2026","","frameworks.seleniumjava.tests.LoginTest","frameworks.seleniumjava.tests.LoginTest","validLogin"
