"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11368","invalidFormShowsValidationError()","","Fri May 29 21:28:10 UTC 2026","passed","Fri May 29 21:28:21 UTC 2026","","frameworks.seleniumjava.tests.FormTest","frameworks.seleniumjava.tests.FormTest","invalidFormShowsValidationError"
"","936","submitFormSuccessfully()","","Fri May 29 21:28:21 UTC 2026","passed","Fri May 29 21:28:22 UTC 2026","","frameworks.seleniumjava.tests.FormTest","frameworks.seleniumjava.tests.FormTest","submitFormSuccessfully"
"","87","fetchDemoUserProfile()","","Fri May 29 21:28:27 UTC 2026","passed","Fri May 29 21:28:28 UTC 2026","","frameworks.seleniumjava.tests.api.UserApiTest","frameworks.seleniumjava.tests.api.UserApiTest","fetchDemoUserProfile"
"","824","navigateBetweenSections()","","Fri May 29 21:28:24 UTC 2026","passed","Fri May 29 21:28:24 UTC 2026","","frameworks.seleniumjava.tests.NavigationTest","frameworks.seleniumjava.tests.NavigationTest","navigateBetweenSections"
"","686","validLogin()","","Fri May 29 21:28:23 UTC 2026","passed","Fri May 29 21:28:24 UTC 2026","","frameworks.seleniumjava.tests.LoginTest","frameworks.seleniumjava.tests.LoginTest","validLogin"
"","663","invalidLoginShowsError()","","Fri May 29 21:28:22 UTC 2026","passed","Fri May 29 21:28:23 UTC 2026","","frameworks.seleniumjava.tests.LoginTest","frameworks.seleniumjava.tests.LoginTest","invalidLoginShowsError"
"","2534","rejectInvalidMessagePayload()","","Fri May 29 21:28:25 UTC 2026","passed","Fri May 29 21:28:27 UTC 2026","","frameworks.seleniumjava.tests.api.MessageApiTest","frameworks.seleniumjava.tests.api.MessageApiTest","rejectInvalidMessagePayload"
"","113","submitMessageSuccessfully()","","Fri May 29 21:28:27 UTC 2026","passed","Fri May 29 21:28:27 UTC 2026","","frameworks.seleniumjava.tests.api.MessageApiTest","frameworks.seleniumjava.tests.api.MessageApiTest","submitMessageSuccessfully"
